Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,DOW-Price,DOW-Open,DOW-High,DOW-Low,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-04-27,5279.471191,5310.75,5233.635742,5268.291016,5268.291016,13111274675.0,156.270859,160.589417,155.621887,158.434937,158.434937,5863109118,0.002515,0.002545,0.002489,0.002516,0.002516,27194224,2939.90,2925.80,2939.90,2917.60,8146.40,8100.28,8146.42,8060.89,26543.33,26454.62,26543.56,26392.55,1288.80,1280.10,1290.90,1276.00,63.3,65.13,65.18,62.28,4,27,2019
2019-04-28,5271.746582,5326.231934,5255.683594,5285.13916,5285.13916,12819992056.0,158.499771,159.565384,157.125519,157.295074,157.295074,5379894433,0.00252,0.002563,0.002502,0.002531,0.002531,25600272,2939.90,2925.80,2939.90,2917.60,8146.40,8100.28,8146.42,8060.89,26543.33,26454.62,26543.56,26392.55,1288.80,1280.10,1290.90,1276.00,63.3,65.13,65.18,62.28,4,28,2019
2019-04-29,5284.858398,5311.274902,5216.487793,5247.352539,5247.352539,13735490672.0,157.291061,158.333923,153.186523,155.201996,155.201996,6053776253,0.002527,0.002551,0.002443,0.002466,0.002466,32974056,2943.00,2940.60,2949.50,2939.30,8161.85,8147.65,8176.08,8136.41,26554.39,26559.87,26602.54,26520.75,1281.50,1287.00,1288.60,1279.90,63.5,62.95,63.69,62.46,4,29,2019
2019-04-30,5247.726074,5363.257324,5224.189941,5350.726563,5350.726563,13878964574.0,155.172775,162.432251,155.172775,162.166031,162.166031,6275803460,0.002469,0.002519,0.002443,0.002513,0.002513,34753261,2945.80,2937.10,2948.20,2924.10,8095.39,8104.91,8124.61,8050.55,26592.91,26594.56,26614.04,26419.47,1285.70,1283.50,1288.20,1281.60,63.91,63.58,64.75,63.3,4,30,2019
2019-05-01,5350.914551,5418.003906,5347.645996,5402.697266,5402.697266,13679528236.0,162.186554,164.060684,159.660217,160.818344,160.818344,5789172433,0.00251,0.002551,0.002477,0.002521,0.002521,30316782,2923.70,2952.30,2954.10,2923.40,8049.64,8132.93,8146.00,8048.23,26430.14,26639.06,26689.39,26426.38,1284.20,1284.20,1289.40,1274.50,63.6,63.4,63.93,62.77,5,1,2019
2019-05-02,5402.422852,5522.262695,5394.217285,5505.283691,5505.283691,14644460907.0,160.853577,162.937012,160.060699,162.122787,162.122787,6044171062,0.002525,0.002656,0.002516,0.002611,0.002611,34506272,2917.50,2922.20,2931.70,2900.50,8036.77,8046.48,8094.06,7976.77,26307.79,26407.15,26454.69,26180.36,1272.00,1278.20,1278.40,1267.30,61.81,63.61,63.68,60.95,5,2,2019
2019-05-03,5505.552246,5865.881836,5490.20166,5768.289551,5768.289551,18720780006.0,162.075165,170.068741,161.080627,167.952408,167.952408,7299410672,0.00261,0.002753,0.002595,0.002721,0.002721,40969776,2945.60,2929.20,2947.80,2929.20,8164.00,8092.88,8164.71,8084.80,26504.95,26379.14,26534.96,26370.09,1281.30,1272.90,1283.90,1269.00,61.94,61.55,62.52,61.3,5,3,2019
2019-05-04,5769.202637,5886.893555,5645.469238,5831.16748,5831.16748,17567780766.0,167.887222,170.645935,161.791428,164.026581,164.026581,6658100049,0.002698,0.002783,0.002608,0.00268,0.00268,39814872,2945.60,2929.20,2947.80,2929.20,8164.00,8092.88,8164.71,8084.80,26504.95,26379.14,26534.96,26370.09,1281.30,1272.90,1283.90,1269.00,61.94,61.55,62.52,61.3,5,4,2019
2019-05-05,5831.068359,5833.862793,5708.035156,5795.708496,5795.708496,14808830723.0,164.015259,165.399979,159.700653,163.450699,163.450699,5938415562,0.002709,0.002709,0.002622,0.002653,0.002653,33161934,2945.60,2929.20,2947.80,2929.20,8164.00,8092.88,8164.71,8084.80,26504.95,26379.14,26534.96,26370.09,1281.30,1272.90,1283.90,1269.00,61.94,61.55,62.52,61.3,5,5,2019
2019-05-06,5791.693359,5802.95752,5653.6875,5746.807129,5746.807129,15737171804.0,163.337982,175.760101,159.98819,172.653214,172.653214,7540096853,0.002633,0.002661,0.002515,0.002542,0.002542,37020800,2932.50,2908.90,2937.30,2898.20,8123.29,7981.85,8135.54,7981.85,26438.48,26160.62,26476.27,26033.95,1283.80,1286.40,1286.40,1278.10,62.25,61.43,62.95,60.04,5,6,2019
