Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-05-13,6971.178223,8047.413086,6898.282227,7814.915039,7814.915039,28677672181.0,187.417923,205.098267,185.305908,196.846283,196.846283,10367149039,0.002663,0.002823,0.002649,0.002756,0.002756,47011255,2811.9,2840.2,2840.2,2801.4,7647.02,7720.07,7760.83,7627.23,650130000.0,25324.99,25568.06,25568.06,25222.51,361240000.0,1301.8,1288.4,1302.2,1282.4,61.04,61.65,63.33,60.64,5,13,2019
2019-05-14,7807.884277,8268.712891,7696.391113,7994.416016,7994.416016,32031452227.0,196.738281,217.874649,196.05481,217.148575,217.148575,12751049755,0.002758,0.003199,0.002747,0.003068,0.003068,58434920,2834.4,2820.1,2852.5,2820.1,7734.49,7689.66,7776.2,7665.3,525130000.0,25532.05,25384.03,25688.96,25384.03,291570000.0,1296.3,1302.0,1302.6,1294.3,61.78,60.86,62.11,60.69,5,14,2019
2019-05-15,7989.374512,8216.423828,7899.106934,8205.167969,8205.167969,28344112920.0,217.010117,247.446594,216.822113,247.153061,247.153061,13460006534,0.003073,0.003317,0.003052,0.003308,0.003308,57673254,2851.0,2820.4,2858.7,2815.1,7822.15,7682.8,7838.72,7682.24,503470000.0,25648.02,25400.13,25724.89,25341.94,270720000.0,1297.8,1298.3,1301.7,1293.6,62.02,61.37,62.34,60.85,5,15,2019
2019-05-16,8194.500977,8320.824219,7729.608398,7884.90918,7884.90918,33167197581.0,246.941956,275.39444,245.795288,264.01001,264.01001,18661465873,0.00331,0.003521,0.003114,0.003168,0.003168,68128483,2876.3,2855.8,2892.2,2855.8,7898.05,7832.58,7946.23,7826.67,532350000.0,25862.68,25692.14,25957.63,25692.14,320960000.0,1286.2,1296.9,1299.3,1284.2,62.87,62.12,63.48,62.08,5,16,2019
2019-05-17,7886.925781,7929.145508,7038.124512,7343.895508,7343.895508,30066644905.0,263.848358,266.979614,227.767426,243.764587,243.764587,16037551694,0.003169,0.003186,0.002831,0.002962,0.002962,66495399,2859.5,2858.6,2885.5,2854.2,7816.28,7829.03,7918.71,7810.35,579070000.0,25764.0,25719.95,25948.74,25657.78,283760000.0,1275.7,1287.2,1289.0,1274.6,62.76,63.12,63.64,62.52,5,17,2019
2019-05-18,7341.664551,7447.271973,7251.504395,7271.208008,7271.208008,21354286562.0,243.911301,246.362762,233.099854,234.59523,234.59523,10933142646,0.002966,0.003054,0.002897,0.003005,0.003005,54849676,2859.5,2858.6,2885.5,2854.2,7816.28,7829.03,7918.71,7810.35,579070000.0,25764.0,25719.95,25948.74,25657.78,283760000.0,1275.7,1287.2,1289.0,1274.6,62.76,63.12,63.64,62.52,5,18,2019
2019-05-19,7267.962891,8261.941406,7267.962891,8197.689453,8197.689453,25902422040.0,234.449463,263.740997,233.758667,261.292206,261.292206,12049250894,0.003011,0.003195,0.003,0.003178,0.003178,63883932,2859.5,2858.6,2885.5,2854.2,7816.28,7829.03,7918.71,7810.35,579070000.0,25764.0,25719.95,25948.74,25657.78,283760000.0,1275.7,1287.2,1289.0,1274.6,62.76,63.12,63.64,62.52,5,19,2019
2019-05-20,8196.923828,8200.967773,7678.781738,7978.309082,7978.309082,23843404340.0,261.267487,261.55127,241.80365,251.86441,251.86441,10834541285,0.003179,0.003186,0.002933,0.003041,0.003041,56440462,2840.2,2841.9,2853.9,2831.3,7702.38,7714.06,7747.27,7678.35,551650000.0,25679.9,25655.31,25751.71,25560.55,279560000.0,1277.3,1277.6,1278.8,1273.3,63.1,62.93,63.81,62.45,5,20,2019
2019-05-21,7977.969238,8062.167969,7843.339844,7963.327637,7963.327637,25127245056.0,251.647842,262.107544,248.196304,255.215881,255.215881,11545049593,0.003042,0.003112,0.002968,0.003086,0.003086,54845691,2864.4,2854.0,2868.9,2854.0,7785.72,7765.57,7804.44,7752.92,500280000.0,25877.33,25782.34,25898.27,25779.61,260870000.0,1273.2,1277.7,1277.7,1269.0,62.99,63.22,63.6,62.75,5,21,2019
2019-05-22,7956.291992,7997.612305,7615.987305,7680.066406,7680.066406,24719473175.0,254.995316,258.801849,242.730484,244.698914,244.698914,9818257463,0.003082,0.003091,0.002912,0.002939,0.002939,60016531,2856.3,2856.1,2865.5,2851.1,7750.84,7749.81,7786.33,7738.35,466480000.0,25776.61,25818.46,25878.21,25755.11,241760000.0,1274.2,1274.4,1277.1,1272.0,61.42,62.95,63.0,61.03,5,22,2019
