Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low
5/13/2019,6971.178223,8047.413086,6898.282227,7814.915039,7814.915039,28677672181,187.417923,205.098267,185.305908,196.846283,196.846283,10367149039,0.002663,0.002823,0.002649,0.002756,0.002756,47011255,"2,811.90","2,840.20","2,840.20","2,801.40","7,647.02","7,720.07","7,760.83","7,627.23",650130000,"25,324.99","25,568.06","25,568.06","25,222.51",361240000,"1,301.80","1,288.40","1,302.20","1,282.40",61.04,61.65,63.33,60.64
5/14/2019,7807.884277,8268.712891,7696.391113,7994.416016,7994.416016,32031452227,196.738281,217.874649,196.05481,217.148575,217.148575,12751049755,0.002758,0.003199,0.002747,0.003068,0.003068,58434920,"2,834.40","2,820.10","2,852.50","2,820.10","7,734.49","7,689.66","7,776.20","7,665.30",525130000,"25,532.05","25,384.03","25,688.96","25,384.03",291570000,"1,296.30","1,302.00","1,302.60","1,294.30",61.78,60.86,62.11,60.69
5/15/2019,7989.374512,8216.423828,7899.106934,8205.167969,8205.167969,28344112920,217.010117,247.446594,216.822113,247.153061,247.153061,13460006534,0.003073,0.003317,0.003052,0.003308,0.003308,57673254,"2,851.00","2,820.40","2,858.70","2,815.10","7,822.15","7,682.80","7,838.72","7,682.24",503470000,"25,648.02","25,400.13","25,724.89","25,341.94",270720000,"1,297.80","1,298.30","1,301.70","1,293.60",62.02,61.37,62.34,60.85
5/16/2019,8194.500977,8320.824219,7729.608398,7884.90918,7884.90918,33167197581,246.941956,275.39444,245.795288,264.01001,264.01001,18661465873,0.00331,0.003521,0.003114,0.003168,0.003168,68128483,"2,876.30","2,855.80","2,892.20","2,855.80","7,898.05","7,832.58","7,946.23","7,826.67",532350000,"25,862.68","25,692.14","25,957.63","25,692.14",320960000,"1,286.20","1,296.90","1,299.30","1,284.20",62.87,62.12,63.48,62.08
5/17/2019,7886.925781,7929.145508,7038.124512,7343.895508,7343.895508,30066644905,263.848358,266.979614,227.767426,243.764587,243.764587,16037551694,0.003169,0.003186,0.002831,0.002962,0.002962,66495399,"2,859.50","2,858.60","2,885.50","2,854.20","7,816.28","7,829.03","7,918.71","7,810.35",579070000,"25,764.00","25,719.95","25,948.74","25,657.78",283760000,"1,275.70","1,287.20","1,289.00","1,274.60",62.76,63.12,63.64,62.52
5/18/2019,7341.664551,7447.271973,7251.504395,7271.208008,7271.208008,21354286562,243.911301,246.362762,233.099854,234.59523,234.59523,10933142646,0.002966,0.003054,0.002897,0.003005,0.003005,54849676,"2,859.50","2,858.60","2,885.50","2,854.20","7,816.28","7,829.03","7,918.71","7,810.35",579070000,"25,764.00","25,719.95","25,948.74","25,657.78",283760000,"1,275.70","1,287.20","1,289.00","1,274.60",62.76,63.12,63.64,62.52
5/19/2019,7267.962891,8261.941406,7267.962891,8197.689453,8197.689453,25902422040,234.449463,263.740997,233.758667,261.292206,261.292206,12049250894,0.003011,0.003195,0.003,0.003178,0.003178,63883932,"2,859.50","2,858.60","2,885.50","2,854.20","7,816.28","7,829.03","7,918.71","7,810.35",579070000,"25,764.00","25,719.95","25,948.74","25,657.78",283760000,"1,275.70","1,287.20","1,289.00","1,274.60",62.76,63.12,63.64,62.52
5/20/2019,8196.923828,8200.967773,7678.781738,7978.309082,7978.309082,23843404340,261.267487,261.55127,241.80365,251.86441,251.86441,10834541285,0.003179,0.003186,0.002933,0.003041,0.003041,56440462,"2,840.20","2,841.90","2,853.90","2,831.30","7,702.38","7,714.06","7,747.27","7,678.35",551650000,"25,679.90","25,655.31","25,751.71","25,560.55",279560000,"1,277.30","1,277.60","1,278.80","1,273.30",63.1,62.93,63.81,62.45
5/21/2019,7977.969238,8062.167969,7843.339844,7963.327637,7963.327637,25127245056,251.647842,262.107544,248.196304,255.215881,255.215881,11545049593,0.003042,0.003112,0.002968,0.003086,0.003086,54845691,"2,864.40","2,854.00","2,868.90","2,854.00","7,785.72","7,765.57","7,804.44","7,752.92",500280000,"25,877.33","25,782.34","25,898.27","25,779.61",260870000,"1,273.20","1,277.70","1,277.70","1,269.00",62.99,63.22,63.6,62.75
5/22/2019,7956.291992,7997.612305,7615.987305,7680.066406,7680.066406,24719473175,254.995316,258.801849,242.730484,244.698914,244.698914,9818257463,0.003082,0.003091,0.002912,0.002939,0.002939,60016531,"2,856.30","2,856.10","2,865.50","2,851.10","7,750.84","7,749.81","7,786.33","7,738.35",466480000,"25,776.61","25,818.46","25,878.21","25,755.11",241760000,"1,274.20","1,274.40","1,277.10","1,272.00",61.42,62.95,63,61.03
5/23/2019,7677.269043,7943.791504,7533.196777,7881.84668,7881.84668,24457107820,244.665115,247.616638,233.793091,245.965668,245.965668,10671663487,0.002937,0.00298,0.002795,0.002961,0.002961,55428477,"2,822.20","2,836.70","2,836.70","2,805.50","7,628.28","7,660.72","7,665.15","7,585.32",597200000,"25,490.47","25,657.99","25,657.99","25,328.09",316940000,"1,285.40","1,273.60","1,287.10","1,272.10",57.91,61.31,61.41,57.33
5/24/2019,7881.695313,8140.719727,7824.44873,7987.371582,7987.371582,25919126991,245.987091,255.259338,243.240097,249.484985,249.484985,9929433206,0.00296,0.003022,0.002932,0.002995,0.002995,61767497,"2,826.10","2,832.40","2,841.40","2,820.20","7,637.01","7,675.57","7,694.15","7,631.25",422810000,"25,585.69","25,551.07","25,670.81","25,496.20",201370000,"1,283.60","1,283.20","1,284.70","1,280.10",58.63,58.21,59.1,57.5
5/25/2019,7991.885254,8117.925781,7965.976074,8052.543945,8052.543945,22256813107,249.694046,257.356842,249.088791,251.759872,251.759872,8924985385,0.002996,0.003011,0.002958,0.002991,0.002991,58214409,"2,826.10","2,832.40","2,841.40","2,820.20","7,637.01","7,675.57","7,694.15","7,631.25",422810000,"25,585.69","25,551.07","25,670.81","25,496.20",201370000,"1,283.60","1,283.20","1,284.70","1,280.10",58.63,58.21,59.1,57.5
5/26/2019,8055.206055,8687.520508,7924.67041,8673.21582,8673.21582,26677970091,251.724792,269.166534,247.245392,267.069641,267.069641,9664267731,0.002987,0.003115,0.002935,0.003092,0.003092,68909916,"2,826.10","2,832.40","2,841.40","2,820.20","7,637.01","7,675.57","7,694.15","7,631.25",422810000,"25,585.69","25,551.07","25,670.81","25,496.20",201370000,"1,283.60","1,283.20","1,284.70","1,280.10",58.77,58.94,59,58.67
5/27/2019,8674.072266,8907.174805,8668.705078,8805.77832,8805.77832,27949839564,267.141876,278.507263,265.444702,272.86264,272.86264,12074664736,0.003099,0.003207,0.003086,0.003141,0.003141,76858482,"2,826.10","2,832.40","2,841.40","2,820.20","7,637.01","7,675.57","7,694.15","7,631.25",422810000,"25,585.69","25,551.07","25,670.81","25,496.20",201370000,"1,277.10","1,283.50","1,286.90","1,275.10",59.16,58.77,59.26,58.14
5/28/2019,8802.757813,8807.016602,8634.72168,8719.961914,8719.961914,24226919267,272.590485,274.320831,267.514374,271.768707,271.768707,10362846898,0.003142,0.003168,0.003071,0.003148,0.003148,67850692,"2,802.40","2,830.00","2,840.50","2,801.60","7,607.35","7,655.66","7,693.74","7,603.76",785600000,"25,347.77","25,616.55","25,717.63","25,342.28",364850000,"1,280.10","1,287.20","1,289.60","1,278.50",59.14,58.94,59.57,58.13
5/29/2019,8718.591797,8755.852539,8482.728516,8659.487305,8659.487305,23473479966,271.779053,273.756287,263.0914,269.455688,269.455688,9819132174,0.003149,0.003151,0.003083,0.003127,0.003127,74244761,"2,783.00","2,790.20","2,792.00","2,766.10","7,547.31","7,553.02","7,581.11","7,503.94",579480000,"25,126.41","25,231.46","25,231.46","24,938.24",298930000,"1,281.00","1,278.90","1,285.20","1,278.40",58.81,59.07,59.14,56.88
5/30/2019,8661.760742,9008.314453,8221.273438,8319.472656,8319.472656,29246528551,269.55188,287.20163,247.348602,255.858948,255.858948,13604268584,0.003125,0.0036,0.00311,0.003258,0.003258,97252491,"2,788.90","2,786.90","2,799.00","2,776.70","7,567.72","7,565.46","7,595.90","7,527.66",454610000,"25,169.88","25,139.94","25,218.54","25,066.75",215240000,"1,292.40","1,285.10","1,293.90","1,279.20",56.59,59.12,59.7,56.33
5/31/2019,8320.286133,8586.65918,8172.550781,8574.501953,8574.501953,25365190957,256.015259,268.659943,249.111847,268.113556,268.113556,11255023515,0.003256,0.003443,0.003172,0.003441,0.003441,85204091,"2,752.10","2,766.20","2,769.00","2,750.50","7,453.15","7,470.95","7,506.86","7,448.23",590430000,"24,815.04","25,046.31","25,046.31","24,809.51",292230000,"1,311.10","1,293.20","1,311.90","1,292.50",53.5,56.46,56.61,53.05
6/1/2019,8573.839844,8625.600586,8481.578125,8564.016602,8564.016602,22488303544,268.43335,273.557983,263.524597,265.391266,265.391266,9942869852,0.003443,0.00352,0.00336,0.003419,0.003419,85093279,"2,752.10","2,766.20","2,769.00","2,750.50","7,453.15","7,470.95","7,506.86","7,448.23",590430000,"24,815.04","25,046.31","25,046.31","24,809.51",292230000,"1,311.10","1,293.20","1,311.90","1,292.50",53.5,56.46,56.61,53.05
6/2/2019,8565.473633,8809.303711,8561.235352,8742.958008,8742.958008,20266216022,265.512726,272.80722,265.04187,270.225525,270.225525,8744111713,0.003426,0.003448,0.003342,0.003398,0.003398,74315769,"2,752.10","2,766.20","2,769.00","2,750.50","7,453.15","7,470.95","7,506.86","7,448.23",590430000,"24,815.04","25,046.31","25,046.31","24,809.51",292230000,"1,311.10","1,293.20","1,311.90","1,292.50",53.5,56.46,56.61,53.05
6/3/2019,8741.74707,8743.5,8204.185547,8208.995117,8208.995117,22004511436,270.088562,270.334106,251.262192,252.607925,252.607925,9375712917,0.003397,0.00341,0.003194,0.003198,0.003198,76817043,"2,744.40","2,751.50","2,763.10","2,728.80","7,333.02","7,441.22","7,457.66","7,292.22",658410000,"24,819.78","24,830.16","24,935.21","24,680.57",328240000,"1,327.90","1,312.50","1,333.00","1,310.90",53.25,53.42,54.63,52.11
6/4/2019,8210.985352,8210.985352,7564.48877,7707.770996,7707.770996,24609731549,252.511642,252.511642,236.127213,241.338791,241.338791,10132549747,0.003213,0.003213,0.002986,0.003042,0.003042,77725735,"2,803.30","2,762.60","2,804.50","2,762.60","7,527.12","7,413.94","7,529.50","7,385.02",619530000,"25,332.18","24,962.82","25,343.77","24,962.82",281690000,"1,328.70","1,329.70","1,334.10","1,324.70",53.48,52.89,53.78,52.43
6/5/2019,7704.343262,7901.849121,7668.668457,7824.231445,7824.231445,21760923463,241.49704,248.138138,239.983459,247.05101,247.05101,8548917062,0.003039,0.003098,0.00298,0.00307,0.00307,72561329,"2,826.20","2,818.10","2,827.30","2,800.90","7,575.48","7,585.68","7,589.47","7,498.17",537320000,"25,539.57","25,451.00","25,544.66","25,373.58",262660000,"1,333.60","1,330.20","1,348.90","1,329.30",51.68,52.86,53.41,50.6
6/6/2019,7819.633301,7937.34082,7571.471191,7822.023438,7822.023438,19474611077,246.925247,249.944504,238.501114,249.474335,249.474335,8265146806,0.003072,0.003124,0.003005,0.003087,0.003087,71608123,"2,843.50","2,828.50","2,852.10","2,822.40","7,615.55","7,582.24","7,634.12","7,546.22",542410000,"25,720.66","25,567.45","25,800.30","25,518.05",248070000,"1,342.70","1,336.10","1,344.20","1,331.30",52.59,51.66,53.3,51.17
6/7/2019,7826.901367,8126.15332,7788.373535,8043.951172,8043.951172,19141423231,249.335281,254.352295,246.5979,250.930359,250.930359,8379534528,0.003088,0.003195,0.003059,0.00311,0.00311,71288069,"2,873.30","2,852.90","2,885.00","2,852.90","7,742.10","7,652.97","7,767.02","7,647.91",516840000,"25,983.94","25,768.72","26,072.75","25,768.72",263010000,"1,346.10","1,339.70","1,352.70","1,334.30",53.99,53.1,54.32,52.62
6/8/2019,8036.774902,8076.891113,7837.61084,7954.12793,7954.12793,16522722810,251.249313,252.377396,243.229111,245.738098,245.738098,7225996863,0.003115,0.003191,0.003017,0.003084,0.003084,69699426,"2,873.30","2,852.90","2,885.00","2,852.90","7,742.10","7,652.97","7,767.02","7,647.91",516840000,"25,983.94","25,768.72","26,072.75","25,768.72",263010000,"1,346.10","1,339.70","1,352.70","1,334.30",53.99,53.1,54.32,52.62
